party,party_cleaned,write_in,non_partisan,independent,unenrolled,notes
R,R,FALSE,FALSE,FALSE,FALSE,
LBT,LBT,FALSE,FALSE,FALSE,FALSE,
W(D),D,TRUE,FALSE,FALSE,FALSE,
W(GRN),GRN,TRUE,FALSE,FALSE,FALSE,
I,I,FALSE,FALSE,TRUE,FALSE,
D,D,FALSE,FALSE,FALSE,FALSE,
AIP,AIP,FALSE,FALSE,FALSE,FALSE,
GRN,GRN,FALSE,FALSE,FALSE,FALSE,
NL,NL,FALSE,FALSE,FALSE,FALSE,
REF,REF,FALSE,FALSE,FALSE,FALSE,
W,,TRUE,FALSE,FALSE,FALSE,
CNC,CNC,FALSE,FALSE,FALSE,FALSE,
CON,CON,FALSE,FALSE,FALSE,FALSE,
N,N,FALSE,TRUE,FALSE,FALSE,
W(R),R,TRUE,FALSE,FALSE,FALSE,
W(LBT),LBT,TRUE,FALSE,FALSE,FALSE,
U,U,FALSE,FALSE,FALSE,TRUE,
TND,TND,FALSE,FALSE,FALSE,FALSE,
UST,UST,FALSE,FALSE,FALSE,FALSE,
DFL,DFL,FALSE,FALSE,FALSE,FALSE,
IDP,IDP,FALSE,FALSE,FALSE,FALSE,
GRT,GRT,FALSE,FALSE,FALSE,FALSE,
SWP,SWP,FALSE,FALSE,FALSE,FALSE,
N(D),D,FALSE,TRUE,FALSE,FALSE,
N(R),R,FALSE,TRUE,FALSE,FALSE,
(N)LBT,LBT,FALSE,TRUE,FALSE,FALSE,
(N)NL,NL,FALSE,TRUE,FALSE,FALSE,
CF,CF,FALSE,FALSE,FALSE,FALSE,
IAP,IAP,FALSE,FALSE,FALSE,FALSE,
NA,N-A,FALSE,FALSE,FALSE,FALSE,
I (GRN),GRN,FALSE,FALSE,TRUE,FALSE,
I (I),I,FALSE,FALSE,TRUE,FALSE,
I (TG),TG,FALSE,FALSE,TRUE,FALSE,
I (REF),REF,FALSE,FALSE,TRUE,FALSE,
I (LBT),LBT,FALSE,FALSE,TRUE,FALSE,
I (GBJ),GBJ,FALSE,FALSE,TRUE,FALSE,
I (NJC),NJC,FALSE,FALSE,TRUE,FALSE,
I (SOC),SOC,FALSE,FALSE,TRUE,FALSE,
I (SWP),SWP,FALSE,FALSE,TRUE,FALSE,
Combined,Combined,FALSE,FALSE,FALSE,FALSE,
W(IDP),IDP,TRUE,FALSE,FALSE,FALSE,
RTL,RTL,FALSE,FALSE,FALSE,FALSE,
W(RTL),RTL,TRUE,FALSE,FALSE,FALSE,
DNL,DNL,FALSE,FALSE,FALSE,FALSE,
GRT-VT,GRT-VT,FALSE,FALSE,FALSE,FALSE,
LU,LU,FALSE,FALSE,FALSE,FALSE,
W(CON),CON,TRUE,FALSE,FALSE,FALSE,
W(WG),WG,TRUE,FALSE,FALSE,FALSE,
AKI,AKI,FALSE,FALSE,FALSE,FALSE,
W/LBT,LBT,TRUE,FALSE,FALSE,FALSE,
AMC,AMC,FALSE,FALSE,FALSE,FALSE,
CPP,CPP,FALSE,FALSE,FALSE,FALSE,
W(DCG),DCG,TRUE,FALSE,FALSE,FALSE,
W(UM),UM,TRUE,FALSE,FALSE,FALSE,
W(D)/R,R,FALSE,FALSE,FALSE,FALSE,Robert Gordon III. | 2000 | https://ballotpedia.org/Illinois%27_2nd_Congressional_District 
LBT-IA,LBT-IA,FALSE,FALSE,FALSE,FALSE,
EF,EF,FALSE,FALSE,FALSE,FALSE,
NP,NP,FALSE,FALSE,FALSE,FALSE,
O,O,FALSE,FALSE,FALSE,FALSE,
U(LBT),LBT,FALSE,FALSE,FALSE,TRUE,
N(LBT),LBT,FALSE,TRUE,FALSE,FALSE,
CAM,CAM,FALSE,FALSE,FALSE,FALSE,
I (LMP),LMP,FALSE,FALSE,TRUE,FALSE,
I (UC),UC,FALSE,FALSE,TRUE,FALSE,
I (NJI),NJI,FALSE,FALSE,TRUE,FALSE,
I (NL),NL,FALSE,FALSE,TRUE,FALSE,
I (IPR),IPR,FALSE,FALSE,TRUE,FALSE,
I (CON),CON,FALSE,FALSE,TRUE,FALSE,
I (PC),PC,FALSE,FALSE,TRUE,FALSE,
I (ICE),ICE,FALSE,FALSE,TRUE,FALSE,
W(G),G,TRUE,FALSE,FALSE,FALSE,
C,C,FALSE,FALSE,FALSE,FALSE,
W(C),C,TRUE,FALSE,FALSE,FALSE,
SC,SC,FALSE,FALSE,FALSE,FALSE,
W(WF)/WF,WF,TRUE,FALSE,FALSE,FALSE,Neil P. Tallon | 2000 | https://ballotpedia.org/New_York%27s_24th_Congressional_District
W(GRN)/GRN,GRN,TRUE,FALSE,FALSE,FALSE,
W(NL),NL,TRUE,FALSE,FALSE,FALSE,
W(R)/R,R,TRUE,FALSE,FALSE,FALSE,
PG,PG,FALSE,FALSE,FALSE,FALSE,
SOC,SOC,FALSE,FALSE,FALSE,FALSE,
D/R,D/R,FALSE,FALSE,FALSE,FALSE,Needs fix in R script. See `build.R` for details.
PPD,PPD,FALSE,FALSE,FALSE,FALSE,
PRI,PRI,FALSE,FALSE,FALSE,FALSE,
I(CFC),CFC,FALSE,FALSE,TRUE,FALSE,
I(GRN),GRN,FALSE,FALSE,TRUE,FALSE,
UC,UC,FALSE,FALSE,FALSE,FALSE,
I(LBT),LBT,FALSE,FALSE,TRUE,FALSE,
UN,UN,FALSE,FALSE,FALSE,FALSE,
D/LU,LU,FALSE,FALSE,FALSE,FALSE,
W(LBT)/LBT,LBT,TRUE,FALSE,FALSE,FALSE,
R/W,R,TRUE,FALSE,FALSE,FALSE,
CRP,CRP,FALSE,FALSE,FALSE,FALSE,
IDE,IDE,FALSE,FALSE,FALSE,FALSE,
CPF,CPF,FALSE,FALSE,FALSE,FALSE,
