abbrev,2000,2002,2004,2006,2008,2010,2012,2014,notes
AA,,,,,,,Abundant America,,
ABC,,,,Anti-Bushist Candidate,,,,,
AC,,Anti-Corruption Doctor,,,,Agent of Change,,,
ACP,,,,,,American Congress,,,"Removed ""Party"" from all years"
ADB,,,,,All-Day Breakfast,,,,"Removed ""Party"" from all years"
AE,,,,,,,Americans Elect,Americans Elect,
AF,,America First,,,,,America First,,"Removed ""Party"" from all years"
AFC,,,,,,,,Allen 4 Congress,
AIF,,,,,America’s Independent Party of Florida,,,,
AIP,American Independent,American Independent,American Independent,American Independent,American Independent,American Independent,American Independent,American Independent,
AIV,,,,An Independent Voice,,,,,
AKI,Alaskan Independence,Alaskan Independence,Alaskan Independence,,Alaskan Independence,,,Alaskan Independence,
AKL,,,Alaska Libertarian,,,,,,
ALP,,,,,,American Labor,,American Labor,"Removed ""Party"" from all years"
AM,,American,,,,,,American,"Removed ""Party"" from all years"
AMC,American Constitution,American Constitution,American Constitution,American Constitution,American Constitution,American Constitution,American Constitution,American Constitution,"Removed ""Party"" from all years"
AMI,,,,,America’s Independent,,,,
AMP,,,,,,,America’s Party,,
AND,,,,A New Direction,,,,,
ANT,,,,,,Action No Talk,,,
APF,,,,,,,America’s Party of Florida,,
APP,,,,,,Anti-Prohibition,,,
ARM,,,,,,American Renaissance Movement,,,
ATP,,,,,,,American Third Position,,
BBA,,,,,Back to Basics,,,,
BBH,,,,,,,,Bullying Breaks Hearts,
BD,,,,,,Be Determined,,,
BFC,,,,,,,Bednarski for Congress,,
BFJ,,,,,,,Bob's for Jobs,,
BFS,,,,,Boss for Senate,,,,
BHT,,,,,,Bring Home Troops,,,
BLD,,,Builders,,,,,,
BP,By Petition,By Petition,By Petition,,By Petition,By Petition,By Petition,By Petition,
BQT,,,,,,,,Bob Quast for Term Limits,
BR,Buchanan Reform,,,,,,,,
BTP,,,,,Boston Tea Party,,,,
C,Conservative,Conservative,Conservative,,,,,,
CAM,Constitutional American,,,,,,,,
CC,,,,,,,Constitutional Conservative,,
CCC,,,,,,,"Conservative, Compassionate, Creative",,
CEN,,,Centrist,,,Centrist,,,"Removed ""Party"" from all years"
CF,Citizens First,,,,,,,,
CFC,Conscience for Congress,,,,,,,,"Changed ""For"" to for"
CFL,,,,Connecticut for Lieberman,,Connecticut for Lieberman,,,
CG,,,,,,,Constitutional Government,,
CGR,,,,,,Coalition on Government Reform,,,
CHA,,,,,,,"Change, Change, Change",,
