year,state,chamber,district,election,name,party,vote,pct,incumbent,write_in,ballot_modifier
2000,VI,H,00,general,"Balch, Charles",,1,0.0,FALSE,TRUE,
2000,PR,H,00,general,"Barcelo, Carlos Romero",New Progressive,905690,45.63,FALSE,FALSE,
2000,VI,H,00,general,"Basttiste, Leale",,1,0.0,FALSE,TRUE,
2000,ND,H,00,general,"Brandenburg, Dana Paul",,22,0.01,FALSE,TRUE,
2000,VI,H,00,general,"Bryan, Jean",,2,0.01,FALSE,TRUE,
2000,VI,H,00,general,"Christian-Christensen, Dr. Donna M.",Democratic,19021,78.46,FALSE,FALSE,
2000,VI,H,00,general,"Cromwell, Rosa White",,1,0.0,FALSE,TRUE,
2000,GU,H,00,general,"Cruz, Manuel",Republican,8167,21.91,FALSE,FALSE,
2000,WY,H,00,general,"Cubin, Barbara",Republican,141848,66.81,FALSE,FALSE,
2000,VI,H,00,general,"de Lugo, Ron",,2,0.01,FALSE,TRUE,
2000,VT,H,00,general,"Diamondstone, Pete",Liberty Union,14918,5.26,FALSE,FALSE,
2000,AK,H,00,general,"Dore, Jim",Alaskan Independence,10085,3.68,FALSE,FALSE,
2000,ND,H,00,general,"Dorso, John",Republican,127251,44.55,FALSE,FALSE,
2000,VI,H,00,general,"Douglas, Dena",,1,0.0,FALSE,TRUE,
2000,VI,H,00,general,"Estemac, Jorge J.",Independent Citizens Movement,1626,6.71,FALSE,FALSE,
2000,AS,H,00,general,"Faleomavaega, Eni F.H.",Democratic,5500,61.08,FALSE,FALSE,
2000,VI,H,00,general,"Frazer, Victor O.",Independent,3569,14.72,FALSE,FALSE,independent
2000,WY,H,00,general,"Green, Michael Allen",Democratic,60638,28.56,FALSE,FALSE,
2000,AK,H,00,general,"Greene, Clifford Mark",Democratic,45372,16.54,FALSE,FALSE,
2000,VI,H,00,general,"Hairston, Linda",,1,0.0,FALSE,TRUE,
2000,AS,H,00,general,"Hannemann, Gus",Independent,3505,38.92,FALSE,FALSE,independent
2000,VI,H,00,general,"Hodge, John",,1,0.0,FALSE,TRUE,
2000,VI,H,00,general,"Isaac, Stephan J.",,1,0.0,FALSE,TRUE,
2000,VI,H,00,general,"Jacobs, Stanley",,1,0.0,FALSE,TRUE,
2000,DC,H,00,general,"Kampia, Robert D.",Libertarian,4594,2.62,FALSE,FALSE,
2000,AK,H,00,general,"Karpinski, Leonard J. ""Len""",Libertarian,4802,1.75,FALSE,FALSE,
2000,VT,H,00,general,"Kerin, Karen Ann",Republican,51977,18.34,FALSE,FALSE,
2000,VT,H,00,general,"Krymkowski, Daniel H.",Libertarian,2978,1.05,FALSE,FALSE,
2000,VI,H,00,general,"Les, Hasseen I.",,1,0.0,FALSE,TRUE,
2000,VI,H,00,general,"Lindsey, Renalo",,1,0.0,FALSE,TRUE,
2000,ND,H,00,general,"Loughead, Kenneth R.",Independent,2481,0.87,FALSE,FALSE,independent
2000,DC,H,00,general,"Manuel, Sam",Socialist Workers,1419,0.81,FALSE,FALSE,
2000,VI,H,00,general,"Maynard, Bianca",,1,0.0,FALSE,TRUE,
2000,VI,H,00,general,"Mc Henry, Howard J.",,1,0.0,FALSE,TRUE,
2000,VI,H,00,general,"Monsanto, Liston",,1,0.0,FALSE,TRUE,
2000,VI,H,00,general,"Nekitt, Bevelis",,1,0.0,FALSE,TRUE,
2000,VI,H,00,general,None,,1,0.0,FALSE,TRUE,
2000,VI,H,00,general,None of the Above,,2,0.01,FALSE,TRUE,
2000,DC,H,00,general,"Norton, Eleanor Holmes",Democratic,158824,90.43,FALSE,FALSE,
2000,PR,H,00,general,"Orellana, Manuel Rodriguez",Puerto Rican Independence,95067,4.79,FALSE,FALSE,
2000,ND,H,00,general,"Pomeroy, Earl",Democratic-Nonpartisan League,151173,52.92,FALSE,FALSE,
2000,WY,H,00,general,"Raymond, Victor",Natural Law,3415,1.61,FALSE,FALSE,
2000,VT,H,00,general,"Rogers, Jack",Vermont Grassroots,4799,1.69,FALSE,FALSE,
2000,VT,H,00,general,"Sanders, Bernie",Independent,196118,69.21,FALSE,FALSE,independent
2000,AK,H,00,general,Scattered,,832,0.3,FALSE,TRUE,
2000,DC,H,00,general,Scattered,,536,0.3,FALSE,TRUE,
2000,GU,H,00,general,Scattered,Democratic,10,0.03,FALSE,TRUE,
2000,GU,H,00,general,Scattered,Republican,6,0.02,FALSE,TRUE,
2000,PR,H,00,general,Scattered,,571,0.03,FALSE,TRUE,
2000,VT,H,00,general,Scattered,,760,0.27,FALSE,TRUE,
2000,ND,H,00,general,"Shelver, Jan",Independent,4731,1.66,FALSE,FALSE,independent
2000,VT,H,00,general,"Skrill, Stewart",Independent,11816,4.17,FALSE,FALSE,independent
2000,WY,H,00,general,"Stock, Lewis",Libertarian,6411,3.02,FALSE,FALSE,
2000,VI,H,00,general,"Thomas, Austin",,1,0.0,FALSE,TRUE,
2000,VI,H,00,general,"Tobias, St. Clair",,1,0.0,FALSE,TRUE,
2000,VI,H,00,general,"Top, Sam",,1,0.0,FALSE,TRUE,
2000,VI,H,00,general,"Topp, Sam",,2,0.01,FALSE,TRUE,
2000,GU,H,00,general,"Underwood, Robert A.",Democratic,29099,78.05,FALSE,FALSE,
2000,VI,H,00,general,"Vialet, Fred Jr.",,1,0.0,FALSE,TRUE,
2000,PR,H,00,general,"Vila, Anibal S. Acevedo",Popular Democratic,983488,49.55,FALSE,FALSE,
2000,VI,H,00,general,"Wollcott, Phyllis",,1,0.0,FALSE,TRUE,
2000,DC,H,00,general,"Wolterbeek, Edward Henry",Republican,10258,5.84,FALSE,FALSE,
2000,AK,H,00,general,"Young, Anna C.",Green,22440,8.18,FALSE,FALSE,
2000,AK,H,00,general,"Young, Don E.",Republican,190862,69.56,FALSE,FALSE,
2000,VI,H,00,primary,"Balch, Charles",,0,0.0,FALSE,TRUE,
2000,PR,H,00,primary,"Barcelo, Carlos Romero",New Progressive,,100.0,FALSE,FALSE,
2000,VI,H,00,primary,"Basttiste, Leale",,0,0.0,FALSE,TRUE,
2000,ND,H,00,primary,"Brandenburg, Dana Paul",Reform,140,100.0,FALSE,FALSE,
2000,ND,H,00,primary,"Brandenburg, Dana Paul",,0,0.0,FALSE,TRUE,
2000,VI,H,00,primary,"Bryan, Jean",,0,0.0,FALSE,TRUE,
2000,VI,H,00,primary,"Christian-Christensen, Dr. Donna M.",Democratic,,100.0,FALSE,FALSE,
2000,AS,H,00,primary,"Coleman, Aumua Amata",Republican,2510,21.08,FALSE,FALSE,
2000,VI,H,00,primary,"Cromwell, Rosa White",,0,0.0,FALSE,TRUE,
2000,GU,H,00,primary,"Cruz, Manuel",Republican,,100.0,FALSE,FALSE,
2000,WY,H,00,primary,"Cubin, Barbara",Republican,54946,77.82,FALSE,FALSE,
2000,VI,H,00,primary,"de Lugo, Ron",,0,0.0,FALSE,TRUE,
2000,VT,H,00,primary,"Diamondstone, Pete",Democratic,20539,90.94,FALSE,FALSE,
2000,VT,H,00,primary,"Diamondstone, Pete",Liberty Union,0,0.0,FALSE,FALSE,
2000,AK,H,00,primary,"Dore, Jim",Alaskan Independence,5725,15.9,FALSE,FALSE,
2000,ND,H,00,primary,"Dorso, John",Republican,36381,100.0,FALSE,FALSE,
2000,VI,H,00,primary,"Douglas, Dena",,0,0.0,FALSE,TRUE,
2000,VI,H,00,primary,"Estemac, Jorge J.",Independent Citizens Movement,,100.0,FALSE,FALSE,
2000,AS,H,00,primary,"Faleomavaega, Eni F.H.",Democratic,5491,46.12,FALSE,FALSE,
2000,VI,H,00,primary,"Frazer, Victor O.",Independent,0,0.0,FALSE,FALSE,independent
2000,WY,H,00,primary,"Green, Michael Allen",Democratic,14219,53.11,FALSE,FALSE,
2000,AK,H,00,primary,"Greene, Clifford Mark",Democratic,11688,32.47,FALSE,FALSE,
2000,VI,H,00,primary,"Hairston, Linda",,0,0.0,FALSE,TRUE,
2000,AS,H,00,primary,"Hannemann, Gus",Independent,3648,30.64,FALSE,FALSE,independent
2000,WY,H,00,primary,"Herdt, Larry Jay",Republican,10148,14.37,FALSE,FALSE,
2000,VI,H,00,primary,"Hodge, John",,0,0.0,FALSE,TRUE,
2000,VI,H,00,primary,"Isaac, Stephan J.",,0,0.0,FALSE,TRUE,
